time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm)
1/2/1940,25.9,12.2,18.2,0
1/3/1940,26.2,11.9,18.2,0
1/4/1940,25.4,12,18,0
1/5/1940,26.2,11.4,18.3,0
1/6/1940,26.5,11.8,18.1,0
1/7/1940,26.2,11.4,17.9,0
1/8/1940,26.1,11.5,18,0
1/9/1940,26.2,11.5,18.1,0
1/10/1940,26,11.5,17.9,0
1/11/1940,26.1,11.8,18.2,0
1/12/1940,26.3,12.6,18.8,0
1/13/1940,27,12.3,18.7,0
1/14/1940,26.6,11.8,18.5,0
1/15/1940,27.2,13.4,19.1,0
1/16/1940,27.4,13.2,19.5,0
1/17/1940,28,12.2,19.3,0
1/18/1940,27.8,11.6,19.9,0
1/19/1940,27.7,15.1,20.9,0
1/20/1940,28.1,14.1,20.4,0
1/21/1940,27.6,15.5,20.6,0
1/22/1940,26.1,13.6,19.2,0
1/23/1940,26.1,11.8,18.3,0
1/24/1940,26.7,11.2,18.2,0
1/25/1940,27.7,11.8,18.9,0
1/26/1940,28.2,12.2,19.5,0
1/27/1940,28.2,12.9,19.8,0
1/28/1940,27.2,14.3,20.3,0
1/29/1940,26.3,15.6,20.3,1.5
1/30/1940,27,13.5,19.8,0
1/31/1940,28.3,13.3,20.1,0
2/1/1940,28.8,14.4,21,0
2/2/1940,29.4,15.5,21.6,0
2/3/1940,27.1,17.3,21.1,0.2
2/4/1940,26.6,17,21.1,0.2
2/5/1940,28.1,17,21.7,0
2/6/1940,27.9,17.4,22,0.1
2/7/1940,26.8,16.1,20.7,0.7
2/8/1940,28.3,15,21.3,0
2/9/1940,26.8,14,20.6,0.1
2/10/1940,26.1,15,19.9,2.5
2/11/1940,25.2,16.5,19.8,0.9
2/12/1940,25.2,14.5,19.5,0
2/13/1940,26,12.4,18.7,0
2/14/1940,26.9,11.7,19.3,0
2/15/1940,27.5,12.1,19.5,0
2/16/1940,28.8,13.3,20.2,0
2/17/1940,29.2,14.9,21.6,0
2/18/1940,29.7,14.9,22.1,0
2/19/1940,29.9,14.5,21.9,0
2/20/1940,30.3,14.3,21.7,0
2/21/1940,31.1,15.1,22.4,0
2/22/1940,29.9,16.3,22.3,0.4
2/23/1940,30.2,16.7,23.5,0
2/24/1940,30.2,17.5,23.6,0.1
2/25/1940,30.5,17.3,23.5,0
2/26/1940,27.9,18.4,22.3,18.2
2/27/1940,23.2,16.7,18.8,26.8
2/28/1940,24.9,15.9,19.1,0.5
2/29/1940,27.5,17.3,21.5,6.6
3/1/1940,23.2,18.4,20.1,62.4
3/2/1940,27.7,18.6,20.9,3.1
3/3/1940,28.6,20.6,23.9,0.2
3/4/1940,28.9,20.7,24,10.2
3/5/1940,27.6,19.1,22.3,2.6
3/6/1940,26,20.7,22.9,3
3/7/1940,23.7,19.2,21,3.3
3/8/1940,26.9,18.7,21.8,0.1
3/9/1940,27.6,18.2,22.6,0
3/10/1940,27.1,17.9,22.6,0
3/11/1940,28.2,19.2,23.6,0
3/12/1940,28.5,19.4,22.4,4.8
3/13/1940,26.1,18.8,21.9,5.7
3/14/1940,24.1,18.3,20.6,6.1
3/15/1940,24.7,18,20.6,2.1
3/16/1940,30.7,19.6,24.1,0.1
3/17/1940,30.2,20.6,24.2,10.2
3/18/1940,26.9,20.6,23,16.5
3/19/1940,28.6,20.5,24,9.6
3/20/1940,27.3,20.1,22.7,22.8
3/21/1940,25.1,18.8,21.3,15.2
3/22/1940,26.8,14.1,20.4,0.4
3/23/1940,25.7,15.5,20,6
3/24/1940,25.4,16.6,20.1,6.5
3/25/1940,24.1,18.1,20.1,3.6
3/26/1940,24.8,17.5,20.5,2
3/27/1940,24.4,17.4,20.4,5.6
3/28/1940,24.7,17,20.3,3.9
3/29/1940,27,18.2,22.5,1.6
3/30/1940,26.9,20.2,23.2,2.6
3/31/1940,29.2,21.2,24.3,0.7
4/1/1940,31.6,21.5,26,0.4
4/2/1940,30.4,21.2,26.2,0
4/3/1940,31,18.6,24,0
4/4/1940,30.9,19,24.7,0
4/5/1940,32.6,21,25.9,0
4/6/1940,32.5,21.5,26.4,0
4/7/1940,33.5,23.6,27.9,0
4/8/1940,33.8,24.9,28.4,0
4/9/1940,33.5,25.4,28.8,0.2
4/10/1940,33.5,25.6,28.9,2.6
4/11/1940,33.9,21.7,27.6,3.9
4/12/1940,34.3,23.6,28.1,0.6
4/13/1940,34.9,25,29.3,0
4/14/1940,34.8,25.6,29.1,0
4/15/1940,34.8,25.6,29.4,0
4/16/1940,34.9,25.5,29.6,0
4/17/1940,35.4,25.9,29.5,0.1
4/18/1940,34.7,25.6,29.7,0.1
4/19/1940,35,25.6,29.5,6.3
4/20/1940,31.5,24.8,28.2,1
4/21/1940,32.7,26.3,28.7,0.8
4/22/1940,34.1,24.4,28.4,2.7
4/23/1940,34.9,24.4,29,0
4/24/1940,34.6,24.2,28.9,0
4/25/1940,34,24.7,29.2,0.2
4/26/1940,34.4,25.7,29.7,0.2
4/27/1940,34.2,25.9,29.9,0.1
4/28/1940,36,26.5,29.7,2.1
4/29/1940,33.3,26,29.2,1.1
4/30/1940,34,25.1,29.2,0.4
5/1/1940,34.2,25.2,29.8,0.1
5/2/1940,34,25.5,29.7,0.6
5/3/1940,31,26.6,28.1,16.9
5/4/1940,30.7,23.3,27,27.8
5/5/1940,29.2,25.4,27.3,26.4
5/6/1940,31.6,24,28.1,8.4
5/7/1940,31,21.3,25.5,6.2
5/8/1940,28.1,23.3,25.3,5.7
5/9/1940,32.4,24.6,28.4,8.6
5/10/1940,32.8,26.1,29.1,0.9
5/11/1940,32.2,25.8,29,0.3
5/12/1940,32,25,28.5,0
5/13/1940,31.6,24.2,28,0.2
5/14/1940,31.6,24.4,28,2.5
5/15/1940,29,25.7,27.1,7.3
5/16/1940,31.8,26.7,28.9,4.5
5/17/1940,32,25.5,28.2,9.5
5/18/1940,31.6,24.3,27.1,5.9
5/19/1940,31.2,24.3,26.9,2.2
5/20/1940,31.6,24.7,27.5,4.4
5/21/1940,29.4,24.7,26.2,18.9
5/22/1940,31,24.5,26.8,11.8
5/23/1940,30.2,24.8,26.9,7.5
5/24/1940,29.8,24.5,26.6,4
5/25/1940,29.9,24,26.6,7.2
5/26/1940,30.6,25.3,27.3,9
5/27/1940,30.7,24.7,26.8,26.4
5/28/1940,28.3,23.9,26,18.7
5/29/1940,29.6,24.3,26.4,28.9
5/30/1940,31.3,24.4,27.2,7
5/31/1940,31.3,24.8,27.8,1.4
6/1/1940,32.2,24.7,28.1,4.4
6/2/1940,32,25.2,28.3,1.6
6/3/1940,31.3,25.4,28.4,3.4
6/4/1940,30.7,25.4,27.7,3.5
6/5/1940,30.3,24.8,27.3,9.7
6/6/1940,31,25.3,27.9,3.4
6/7/1940,29.6,24.9,26.9,5.9
6/8/1940,29.6,24.7,26.6,21.9
6/9/1940,30.6,25.9,27.2,12.5
6/10/1940,29.5,24.7,26.6,13.3
6/11/1940,29.8,24.5,26.3,26.5
6/12/1940,32.9,27.4,29.5,2.5
6/13/1940,33.1,28.2,30.1,1.3
6/14/1940,32.1,27.6,29.7,0.6
6/15/1940,33.2,27.6,29.9,3
6/16/1940,32.5,26.7,28.9,7.9
6/17/1940,32.1,26.4,28.9,2.2
6/18/1940,31.8,26,28.6,5.6
6/19/1940,29.5,25.3,27.2,8.1
6/20/1940,30.4,25.3,27.6,4.2
6/21/1940,31,25.5,27.9,4.4
6/22/1940,32.1,24.8,28.1,4.7
6/23/1940,32.1,25.5,28.2,5.5
6/24/1940,31.8,25.6,28.4,10.1
6/25/1940,32.2,26.4,28.7,0.9
6/26/1940,32.1,26.4,28.3,1.7
6/27/1940,31.3,26.2,28.1,6.8
6/28/1940,31.4,25.2,27.8,7.7
6/29/1940,33,25.2,28.2,13.1
6/30/1940,33.9,26,29.1,3.5
7/1/1940,30.3,26,27.2,9.1
7/2/1940,29.6,25.9,27.4,4
7/3/1940,30.6,25.3,27.5,5.1
7/4/1940,31.2,25.1,27.7,4.8
7/5/1940,30.2,25,27.4,6.2
7/6/1940,31.4,25.2,28.2,4.6
7/7/1940,32.7,26.1,28.9,1.4
7/8/1940,32.4,26.7,29.2,0.9
7/9/1940,30.1,27.2,28.4,2.2
7/10/1940,31.5,26.1,28.5,0.8
7/11/1940,31.1,26.6,28.3,4.4
7/12/1940,31,25.1,27.7,2.7
7/13/1940,31.3,24.9,27.5,25.4
7/14/1940,31.8,24.9,28,12.3
7/15/1940,31.5,25.2,28.3,7.3
7/16/1940,32.2,26.1,28.5,3.2
7/17/1940,32.4,26,28.5,9.7
7/18/1940,30.6,26.1,28,4.2
7/19/1940,30.9,25.9,27.9,1
7/20/1940,30.7,25.7,27.7,4.5
7/21/1940,30.3,25.4,27.6,4.9
7/22/1940,30.9,25,27.7,6.1
7/23/1940,30.5,25.3,27.4,7.9
7/24/1940,30.2,25.5,27.6,8
7/25/1940,30.1,25.6,27.4,6.6
7/26/1940,29.9,25.9,27.6,0.7
7/27/1940,30.1,25.6,27.6,3
7/28/1940,30.4,25.7,27.7,0.9
7/29/1940,31.3,25,27.5,3.1
7/30/1940,31.3,25.2,27.8,1.4
7/31/1940,31.6,25.2,27.8,2.5
8/1/1940,32,25.5,27.9,6.9
8/2/1940,30.5,25.6,27.6,3.4
8/3/1940,30.7,24.7,26.9,7.9
8/4/1940,30.4,25.5,27.3,1.2
8/5/1940,29.8,25.4,27.4,2.8
8/6/1940,30.2,25.1,27.4,2.9
8/7/1940,31.2,25.5,27.4,5.2
8/8/1940,30.1,25,27.2,7.4
8/9/1940,30.7,25,27,3.6
8/10/1940,30.2,25.2,27.2,2
8/11/1940,30.1,25.2,27.2,7.3
8/12/1940,30.1,25.6,27.3,6.9
8/13/1940,30,25,27.2,3.9
8/14/1940,30.2,25.1,27.1,1.1
8/15/1940,30.4,25.1,26.9,5.4
8/16/1940,30.6,24.9,27.3,1.1
8/17/1940,31.4,24.8,27.5,2.1
8/18/1940,31.3,25.1,27.7,2.5
8/19/1940,31.6,25.2,27.9,3.2
8/20/1940,31.7,25.2,28.2,1.1
